ticker;current_value;closing_value;opening_value;variation;highest_value;lowest_value;daily_volume;market_value;paper_in_circulation
BRML3;11.98;12.1;12;-0.99;12.14;11.72;6373000;10452945635;872533058
HGTX3;21.05;21.7;21.62;-3;21.62;20.66;1603700;3406808520;161843641
BRDT3;20.24;20.82;20.8;-2.79;20.8;20.15;4344300;675623640;33380615
CYRE3;14.55;14.72;14.55;-1.15;14.77;14.34;2749700;5816257802;399742799
RAPT3;5.97;6.01;6;-0.67;6;5.97;200;2537969093;425120466
REDE3;3.8;3.76;3.8;1.06;3.8;3.78;2600;7819922880;2057874468
PETR3;20.09;20.35;20.38;-1.28;20.79;19.67;12824000;254874378405;12686628993
CCXC3;0.6;0.61;0.61;-1.64;0.61;0.6;30300;10207377;17012295
RAPT4;7.85;8.09;8.09;-2.97;8.16;7.6;3301200;2479177464;315818789
TECN3;3.62;3.65;3.64;-0.82;3.64;3.53;58100;284192504;78506219
LPSB3;5.46;5.69;5.64;-4.04;5.79;5.46;114400;683282346;125143286
TRPN3;3.07;2.97;2.99;3.37;3.07;2.98;37400;135433409;44115118
ATTB34;117.8;119.8;117.47;-1.67;117.8;117.4;600;null;null
AZEV4;1.02;1.03;1.02;-0.97;1.02;1.02;2000;40463300;39669903
TAEE4;6.76;6.8;6.78;-0.59;6.78;6.76;300;6774104773;1002086471
WPLZ11B;71;71.81;72;-1.13;72;70.99;561;null;null
AZUL4;29.34;30.2;30.01;-2.85;30.07;29.1;1057500;9426276559;321277318
BRFS3;30.35;31.28;31;-2.97;31.28;29.75;7162600;24658560291;812473146
HYPE3;35.85;35.36;35.09;1.39;36.09;35;2623500;22665735709;632238122
CGRA3;27.8;27.8;27.49;0;27.8;27.47;800;578456880;20807802
TEND3;21.59;21.7;21.75;-0.51;21.75;21.18;180400;1166618141;54035115
SANB3;19.5;20.5;19.99;-4.88;19.99;19.5;8900;127669639032;6547160976
BGIP4;39.99;40.5;40.49;-1.26;40.49;39.67;400;614399508;15363828
VVAR4;9.4;8.78;9.5;7.06;9.5;8.21;37400;11385722776;1211247153
BPAN4;2.22;2.18;2.2;1.83;2.28;2.16;199000;1075024831;484245413
TCNO3;2.26;2.4;2.35;-5.83;2.35;2.26;11500;14560181;6442558
